status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_9500,drops_4999,adds_2393,drops_6315,metadata,settings,adds_7627,drops_10898,adds_5876,drops_6872,adds_8265,drops_10892,drops,adds_11576,adds_11571,drops_421,adds,drops_5001,adds_5041,drops_10871,adds_1192,drops_5041,adds_6315,drops_10444,adds_1689,drops_11834,adds_6949,drops_5816,adds_7715,drops_8280,adds_8333,drops_5876,adds_8267,drops_10923,adds_6214,adds_6900,drops_10917,adds_11734,drops_10935,adds_5015,drops_7921,drops_5995,adds_6826,drops_5010,adds_7828,drops_5987,adds_8506,drops_4976
complete,waiver,1733850357109,14,[],862559746694205440,1172256998012997632,[3],[3],1733904259141,[],Your waiver claim was processed successfully!,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1733808327245,14,[],578293895956312064,1172080711986843648,[2],[2],1733904259141,[],Your waiver claim was processed successfully!,1.0,0.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1733679807615,14,[],1130644355074629632,1171541661588123648,[5],[5],1733679807615,[],,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1733653067467,14,[],740751073198948352,1171429505278259200,[12],[12],1733653067467,[],,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1733652969016,14,[],740751073198948352,1171429092344836096,[12],[12],1733652969016,[],,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1733652850877,14,[],740751073198948352,1171428596833955840,[12],[12],1733652850877,[],,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1733631697927,14,[],861798755085692928,1171339874931159040,[9],[9],1733631697927,[],,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1733518025123,14,[],830975786608619520,1170863096634650624,[8],[8],1733518025123,[],,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1733514195007,14,[],594730254984077312,1170847031963955200,[4],[4],1733618090786,[],Your waiver claim was processed successfully!,0.0,0.0,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1733448803866,14,[],578293895956312064,1170572761639677952,[2],[2],1733448803866,[],,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1733448601819,14,[],578293895956312064,1170571914193137664,[2],[2],1733448601819,[],,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1733448144966,14,[],578293895956312064,1170569998012772352,[2],[2],1733448144966,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1733447844103,14,[],1130644355074629632,1170568736101888000,[5],[5],1733447844103,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1733447715006,14,[],1130644355074629632,1170568194629824512,[5],[5],1733447715006,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1733432095587,14,[],741144911407095808,1170502682038087680,[6],[6],1733432095587,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,
complete,free_agent,1733431976729,14,[],741144911407095808,1170502183511502848,[6],[6],1733431976729,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,
complete,free_agent,1733431836183,14,[],741144911407095808,1170501594018844672,[6],[6],1733431836183,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,
complete,free_agent,1733431775252,14,[],741144911407095808,1170501338455715840,[6],[6],1733431775252,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,
complete,free_agent,1733412735454,14,[],561715408029736960,1170421479754805248,[10],[10],1733412735454,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,
complete,free_agent,1733356904941,14,[],595464158774878208,1170187309610807296,[7],[7],1733356904941,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,
complete,free_agent,1733356660752,14,[],595464158774878208,1170186285407907840,[7],[7],1733356660752,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,
complete,free_agent,1733340657177,14,[],861798755085692928,1170119161549275136,[9],[9],1733340657177,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,
complete,free_agent,1733321384100,14,[],862499213718704128,1170038324405321728,[11],[11],1733321384100,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,
complete,free_agent,1733312581644,14,[],594730254984077312,1170001404228911104,[4],[4],1733312581644,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0
