status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_8280,drops_1339,drops,adds_8143,adds_11620,drops_5248,adds_11646,adds_10444,adds_11618,adds_5816,drops_7627,metadata,settings,adds_9225,drops_6963,adds_5096,drops_6214,adds,drops_11576,drops_4234,adds_6963,drops_2306,drops_5086,adds_6218,drops_5726,adds_7841,drops_7828,adds_8220,drops_11571
complete,waiver,1734482209672,15,[],862499213718704128,1174907179748548608,[11],[11],1734509076137,[],Your waiver claim was processed successfully!,1.0,12.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1734449715135,15,[],741144911407095808,1174770887780888576,[6],[6],1734509076137,[],Your waiver claim was processed successfully!,0.0,20.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1734413655870,15,[],578293895956312064,1174619644262326272,[2],[2],1734509076137,[],"Unfortunately, your roster will have too many players after this transaction.",6.0,0.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1734413615729,15,[],578293895956312064,1174619475899346944,[2],[2],1734509076137,[],"Unfortunately, your roster will have too many players after this transaction.",5.0,0.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1734413538264,15,[],578293895956312064,1174619150985752576,[2],[2],1734509076137,[],"Unfortunately, your roster will have too many players after this transaction.",4.0,0.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1734413467393,15,[],578293895956312064,1174618853732818944,[2],[2],1734509076137,[],Your waiver claim was processed successfully!,3.0,0.0,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,
complete,waiver,1734285530793,15,[],1130644355074629632,1174082248737079296,[5],[5],1734509076137,[],Your waiver claim was processed successfully!,2.0,0.0,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,
complete,free_agent,1734279603421,15,[],741144911407095808,1174057387536252928,[6],[6],1734279603421,[],,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,
complete,free_agent,1734206738660,15,[],741144911407095808,1173751770577731584,[6],[6],1734206738660,[],,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,
complete,free_agent,1734052305211,15,[],740751073198948352,1173104029745016832,[12],[12],1734052305211,[],,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,
complete,free_agent,1734012254554,15,[],561715408029736960,1172936045114019840,[10],[10],1734012254554,[],,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,
complete,free_agent,1733934587410,15,[],741144911407095808,1172610285501267968,[6],[6],1733934587410,[],,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,
complete,free_agent,1733934437914,15,[],741144911407095808,1172609658469597184,[6],[6],1733934437914,[],,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
complete,free_agent,1733928442409,15,[],862499213718704128,1172584511498993664,[11],[11],1733928442409,[],,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,
complete,free_agent,1733927960658,15,[],862499213718704128,1172582490888847360,[11],[11],1733927960658,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,
complete,free_agent,1733923018952,15,[],861798755085692928,1172561763871604736,[9],[9],1733923018952,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0
