status,type,metadata,created,settings,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,adds_5839,drops_8266,drops,adds_6963,adds_7346,drops_6218,adds_1339,adds_4999,adds,drops_5015,drops_6888,adds_7553,drops_8111,adds_5987,drops_5096,adds_3303,drops_11583,adds_9480
complete,free_agent,,1735000928084,,16,[],830975786608619520,1177082842455547904,[8],[8],1735000928084,[],8.0,8.0,,,,,,,,,,,,,,,,
complete,free_agent,,1734889192731,,16,[],741144911407095808,1176614190417518592,[6],[6],1734889192731,[],,,,6.0,,,,,,,,,,,,,,
complete,free_agent,,1734886686687,,16,[],862499213718704128,1176603679307145216,[11],[11],1734886686687,[],,,,,11.0,11.0,,,,,,,,,,,,
complete,free_agent,,1734841603350,,16,[],1130644355074629632,1176414586086432768,[5],[5],1734841603350,[],,,,,,,5.0,,,,,,,,,,,
complete,free_agent,,1734650354739,,16,[],595464158774878208,1175612431272325120,[7],[7],1734650354739,[],,,,,,,,7.0,,,,,,,,,,
complete,free_agent,,1734650334594,,16,[],595464158774878208,1175612346778071040,[7],[7],1734650334594,[],,,,,,,,,,7.0,,,,,,,,
complete,free_agent,,1734650224229,,16,[],595464158774878208,1175611883873710080,[7],[7],1734650224229,[],,,,,,,,,,,7.0,,,,,,,
complete,free_agent,,1734650088473,,16,[],1130644355074629632,1175611314471776256,[5],[5],1734650088473,[],,,,,,,,,,,,5.0,5.0,,,,,
complete,free_agent,,1734617077174,,16,[],741144911407095808,1175472855048339456,[6],[6],1734617077174,[],,,,,,,,,,,,,,6.0,6.0,,,
complete,free_agent,,1734571854096,,16,[],594730254984077312,1175283175711391744,[4],[4],1734571854096,[],,,,,,,,,,,,,,,,4.0,4.0,
complete,free_agent,,1734571802189,,16,[],594730254984077312,1175282957997654016,[4],[4],1734571802189,[],,,,,,,,,,,,,,,,,,4.0
