status,type,created,leg,draft_picks,creator,transaction_id,drops,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_8676,adds_11582,adds_3214,drops_5001,drops_4082,adds_8228,drops_6826,adds_1373,drops_11560,adds_4098,drops_9481,adds_4147,adds_9754,adds_1339,adds_1052,drops_2036,adds_7648,drops_4118,settings_priority,adds_2028,drops_6768,drops_2374,adds_10880,metadata,settings,adds_5001,drops_11586,adds_3286,adds,drops_7113,adds_11584,drops_8228,adds_7635,adds_5987
complete,waiver,1726639373949,2,[],740751073198948352,1142011942501113856,,[12],[12],1726643096101,[],Your waiver claim was processed successfully!,7.0,13.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1726639336960,2,[],740751073198948352,1142011787358093312,,[12],[12],1726643096101,[],This player was claimed by another owner.,6.0,13.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1726628736430,2,[],594730254984077312,1141967325512675328,,[4],[4],1726643096101,[],You are over the budget for this transaction.,10.0,6.0,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1726628702057,2,[],594730254984077312,1141967181341794304,,[4],[4],1726643096101,[],You are over the budget for this transaction.,3.0,26.0,4.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1726628662326,2,[],594730254984077312,1141967014697857024,,[4],[4],1726643096101,[],"Unfortunately, your roster will have too many players after this transaction.",8.0,11.0,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1726625031885,2,[],1045522732957417472,1141951787524673536,,[1],[1],1726643096101,[],Your waiver claim was processed successfully!,12.0,0.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1726624621053,2,[],578293895956312064,1141950064370348032,,[2],[2],1726643096101,[],"Unfortunately, your roster will have too many players after this transaction.",5.0,14.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1726624597873,2,[],578293895956312064,1141949967146532864,,[2],[2],1726643096101,[],"Unfortunately, your roster will have too many players after this transaction.",4.0,18.0,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1726624571638,2,[],578293895956312064,1141949857108807680,,[2],[2],1726643096101,[],This player was claimed by another owner.,2.0,28.0,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1726624510045,2,[],578293895956312064,1141949598769115136,,[2],[2],1726643096101,[],Your waiver claim was processed successfully!,1.0,29.0,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1726606909788,2,[],862499213718704128,1141875777936617472,,[11],[11],1726643096101,[],"Unfortunately, your roster will have too many players after this transaction.",16.0,0.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,
complete,waiver,1726603402968,2,[],594730254984077312,1141861069271642112,,[4],[4],1726643096101,[],Your waiver claim was processed successfully!,0.0,62.0,,4.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1726591962944,2,[],862499213718704128,1141813086333095936,,[11],[11],1726643096101,[],Your waiver claim was processed successfully!,15.0,0.0,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,
complete,waiver,1726591914003,2,[],862499213718704128,1141812881059807232,,[11],[11],1726643096101,[],Your waiver claim was processed successfully!,14.0,0.0,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,
complete,waiver,1726591737223,2,[],862499213718704128,1141812139590574080,,[11],[11],1726643096101,[],Your waiver claim was processed successfully!,11.0,5.0,,,,,,,,,,,,,,,,,,,0.0,11.0,11.0,,,,,,,,,,,,,
failed,waiver,1726591720050,2,[],862499213718704128,1141812067561930752,,[11],[11],1726643096101,[],This player was claimed by another owner.,9.0,6.0,,,,,,,,,,,,,11.0,,,,,,1.0,,,11.0,,,,,,,,,,,,
complete,waiver,1726587224516,2,[],862559746694205440,1141793211925569536,,[3],[3],1726643096101,[],Your waiver claim was processed successfully!,13.0,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
complete,free_agent,1726419463584,2,[],594730254984077312,1141089571577536512,,[4],[4],1726419463584,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,
complete,free_agent,1726419378740,2,[],594730254984077312,1141089215716007936,,[4],[4],1726419378740,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
complete,free_agent,1726177781127,2,[],740751073198948352,1140075881881264128,,[12],[12],1726177781127,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,
complete,free_agent,1726101379441,2,[],1130644355074629632,1139755429984067584,,[5],[5],1726101379441,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,
complete,free_agent,1726100853737,2,[],1130644355074629632,1139753225021677568,,[5],[5],1726100853737,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
complete,free_agent,1726058273444,2,[],862499213718704128,1139574630328418304,,[11],[11],1726058273444,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
