status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,drops,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_7049,adds_5937,drops_6938,adds_11576,adds_7090,drops_8121,adds_6815,drops_1052,adds_7816,drops_6788,adds_5726,drops_7648,adds_6183,drops_5816,adds_4943,settings_priority,drops_8110,drops_7588,adds_4081,drops_4963,drops_10880,drops_7523,metadata,settings,adds_4449,adds_5871,adds_3303,drops_5840,adds_8392,drops_4971,adds_5894,drops_6807,adds_5001,drops_8111,adds_6901,drops_6888,adds_6938,drops_4098,adds_8142,drops_5937,adds,drops_7635,adds_8129,drops_421,adds_6783,adds_4098,drops_8329,adds_1339,drops_2374,adds_4993,drops_4381,adds_4147,drops_5001,adds_3214,drops_4082
failed,waiver,1727246609329,3,[],740751073198948352,1144558872284405760,[12],,[12],1727247865156,[],This player was claimed by another owner.,5.0,5.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727246589683,3,[],740751073198948352,1144558789883256832,[12],,[12],1727247865156,[],Your waiver claim was processed successfully!,4.0,6.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727242407484,3,[],578293895956312064,1144541248469184512,[2],,[2],1727247865156,[],Your waiver claim was processed successfully!,0.0,33.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1727242306923,3,[],578293895956312064,1144540826685714432,[2],,[2],1727247865156,[],"Unfortunately, your roster will have too many players after this transaction.",1.0,19.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1727233562224,3,[],862499213718704128,1144504148759846912,[11],,[11],1727247865156,[],This player was claimed by another owner.,13.0,1.0,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1727233445714,3,[],862499213718704128,1144503660081496064,[11],,[11],1727247865156,[],This player was claimed by another owner.,15.0,0.0,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727233282574,3,[],862499213718704128,1144502975822725120,[11],,[11],1727247865156,[],Your waiver claim was processed successfully!,14.0,0.0,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727232882919,3,[],862499213718704128,1144501299547889664,[11],,[11],1727247865156,[],Your waiver claim was processed successfully!,12.0,1.0,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727232823277,3,[],862499213718704128,1144501049391501312,[11],,[11],1727247865156,[],Your waiver claim was processed successfully!,11.0,1.0,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1727214704728,3,[],741144911407095808,1144425054688780288,[6],,[6],1727247865156,[],This player was claimed by another owner.,3.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
