status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_8265,drops_10226,adds_9486,drops_8676,adds_8110,drops_1339,settings_priority,adds_7591,drops_2028,adds_6783,drops_8117,adds_7669,drops_7816,drops,adds_7651,drops_7672,adds_4098,drops_11576,drops_7523,metadata,settings,adds_8330,drops_7136,adds,drops_5248,drops_7591,adds_7635,adds_5816,drops_3303,adds_5947,drops_8142,adds_1166,adds_10231,drops_6783,adds_10232,adds_6938,drops_11625,adds_6826,drops_6120,adds_6807,adds_6302,drops_4449,drops_2617,adds_10235,drops_3214,adds_5912,adds_8117,drops_8121,adds_6218,drops_10883,adds_10883,drops_1052,adds_10970,drops_11667,drops_8139
complete,waiver,1727850848691,4,[],861798755085692928,1147093235857354752,[9],[9],1727852687456,[],Your waiver claim was processed successfully!,1.0,5.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727846669436,4,[],740751073198948352,1147075706791325696,[12],[12],1727852687456,[],Your waiver claim was processed successfully!,0.0,15.0,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727824662719,4,[],862499213718704128,1146983403930312704,[11],[11],1727852687456,[],Your waiver claim was processed successfully!,2.0,5.0,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1727824523976,4,[],862499213718704128,1146982821999894528,[11],[11],1727852687456,[],This player was claimed by another owner.,6.0,1.0,,,,,,,0.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727824469357,4,[],862499213718704128,1146982592911241216,[11],[11],1727852687456,[],Your waiver claim was processed successfully!,7.0,1.0,,,,,,,1.0,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727824195043,4,[],862499213718704128,1146981442354954240,[11],[11],1727852687456,[],Your waiver claim was processed successfully!,9.0,0.0,,,,,,,2.0,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1727819088697,4,[],1045522732957417472,1146960024787456000,[1],[1],1727852687456,[],This player was claimed by another owner.,8.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727795356966,4,[],862559746694205440,1146860486693257216,[3],[3],1727852687456,[],Your waiver claim was processed successfully!,5.0,3.0,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727795159235,4,[],862559746694205440,1146859657349267456,[3],[3],1727852687456,[],Your waiver claim was processed successfully!,4.0,3.0,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1727795033912,4,[],862559746694205440,1146859131706589184,[3],[3],1727852687456,[],Your waiver claim was processed successfully!,3.0,3.0,,,,,,,,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
