status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_priority,settings_seq,settings_waiver_bid,adds_9500,drops_2028,adds_8117,adds_9225,drops_4147,adds_1166,drops_4017,drops_829,drops_6783,adds_8333,drops_7669,adds_10899,drops_10904,adds_5580,drops_11086,adds_5030,drops_10917,drops_10905,metadata,settings,adds_5840,drops_6124,drops,adds_11560,adds_2374,drops_8167,adds_7593,drops_8121,adds_5185,adds_10923,adds_7588,drops_11582,adds_8121,adds_7562,drops_2749,adds_8676,drops_1166,adds_829,drops_9229,adds,drops_8290,adds_8126,adds_3303,drops_8311,adds_11576,drops_10231,adds_10904,drops_6183,adds_10917,drops_5030,adds_96,drops_11596,adds_9484,drops_4993,drops_5912,drops_10232,adds_4017,drops_3286
failed,waiver,1728448175600,5,[],862499213718704128,1149598606500990976,[11],[11],1728457463130,[],"Unfortunately, your roster will have too many players after this transaction.",1.0,5.0,1.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1728447894823,5,[],862499213718704128,1149597428837011456,[11],[11],1728457463130,[],Your waiver claim was processed successfully!,0.0,4.0,3.0,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1728438827151,5,[],594730254984077312,1149559396264005632,[4],[4],1728457463130,[],This player was claimed by another owner.,,9.0,0.0,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1728438805315,5,[],594730254984077312,1149559304677289984,[4],[4],1728457463130,[],This player was claimed by another owner.,,8.0,0.0,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1728423569264,5,[],1045522732957417472,1149495400047464448,[1],[1],1728457463130,[],This player was claimed by another owner.,,2.0,10.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1728403517654,5,[],862499213718704128,1149411297499414528,[11],[11],1728457463130,[],Your waiver claim was processed successfully!,2.0,6.0,1.0,11.0,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1728403434457,5,[],862499213718704128,1149410948546117632,[11],[11],1728457463130,[],Your waiver claim was processed successfully!,4.0,11.0,0.0,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1728403345117,5,[],862499213718704128,1149410573826961408,[11],[11],1728457463130,[],Your waiver claim was processed successfully!,3.0,10.0,0.0,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1728398008254,5,[],862559746694205440,1149388189400997888,[3],[3],1728457463130,[],Your waiver claim was processed successfully!,,3.0,3.0,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1728395237473,5,[],561715408029736960,1149376567903236096,[10],[10],1728457463130,[],Your waiver claim was processed successfully!,,7.0,0.0,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1728243733508,5,[],861798755085692928,1148741114217496576,[9],[9],1728457463130,[],Your waiver claim was processed successfully!,,0.0,15.0,,,,9.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1728241066471,5,[],1045522732957417472,1148729927853031424,[1],[1],1728457463130,[],Your waiver claim was processed successfully!,,1.0,10.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1728233310149,5,[],740751073198948352,1148697395480481792,[12],[12],1728233310149,[],,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1728167082361,5,[],595464158774878208,1148419616004214784,[7],[7],1728167082361,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1728077161491,5,[],830975786608619520,1148042460539486208,[8],[8],1728077161491,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
