status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_6183,drops_10899,adds_6783,drops_11637,drops,adds_11086,adds_4033,drops_8330,adds_4981,drops_9486,adds_11575,drops_8142,adds_8132,metadata,settings,adds,drops_4017,drops_10229,adds_9501,adds_7571,adds_11563,drops_6938,adds_5096,drops_4033,adds_2309,adds_6888,adds_1192,adds_6826,drops_5001,adds_1875,drops_6949,adds_4971,drops_6901,adds_11655,adds_6149,drops_4981,drops_6826,adds_10905,drops_4971,drops_9754,adds_8142,drops_2309,drops_5334,drops_7562,adds_6788,drops_8323,drops_7593,drops_4147
complete,waiver,1729053256318,6,[],862499213718704128,1152136498976780288,[11],[11],1729062266805,[],Your waiver claim was processed successfully!,3.0,2.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729051512163,6,[],861798755085692928,1152129183460581376,[9],[9],1729062266805,[],Your waiver claim was processed successfully!,11.0,0.0,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729051492152,6,[],861798755085692928,1152129099528335360,[9],[9],1729062266805,[],Your waiver claim was processed successfully!,6.0,0.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729049995644,6,[],740751073198948352,1152122822718783488,[12],[12],1729062266805,[],Your waiver claim was processed successfully!,0.0,11.0,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729049889032,6,[],740751073198948352,1152122375555686400,[12],[12],1729062266805,[],Your waiver claim was processed successfully!,8.0,0.0,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1729048210323,6,[],741144911407095808,1152115334539911168,[6],[6],1729062266805,[],This player was claimed by another owner.,10.0,0.0,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1729048166327,6,[],741144911407095808,1152115150007255040,[6],[6],1729062266805,[],This player was claimed by another owner.,9.0,0.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1729031378726,6,[],594730254984077312,1152044737705127936,[4],[4],1729031378726,[],,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1729027950296,6,[],578293895956312064,1152030357827465216,[2],[2],1729027950296,[],,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729001985675,6,[],741144911407095808,1151921454314074112,[6],[6],1729062266805,[],Your waiver claim was processed successfully!,2.0,5.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729001971597,6,[],741144911407095808,1151921395266715648,[6],[6],1729062266805,[],Your waiver claim was processed successfully!,1.0,5.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1729001895387,6,[],741144911407095808,1151921075618508800,[6],[6],1729062266805,[],"Unfortunately, your roster will have too many players after this transaction.",5.0,2.0,,,,,,,,,,,,6.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729001856622,6,[],741144911407095808,1151920913026306048,[6],[6],1729062266805,[],Your waiver claim was processed successfully!,4.0,2.0,,,,,,,,,,,,6.0,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
