status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_8121,drops_9500,adds_8267,drops_7841,adds_11637,drops_9501,adds_10444,adds_9229,drops_10235,adds_6826,drops_6149,adds_3233,drops_10970,adds_4135,adds_7648,drops_5580,adds_8330,drops_4081,adds_7049,drops_9756,adds_7523,drops_5870,drops_6783,metadata,settings,adds_7672,drops_4981,adds,drops_8132,drops_11575,adds_7841,drops_6218,adds_5870,drops_7591,drops,adds_8111,adds_8311,drops_5960,adds_5001,drops_6826,adds_10880,adds_7562,adds_2749,drops_11576,adds_9501,drops_7049,adds_10891,drops_3164,drops_3233
failed,waiver,1729659291864,7,[],862499213718704128,1154678396291534848,[11],[11],1729667103082,[],This player was claimed by another owner.,9.0,2.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729659130917,7,[],862499213718704128,1154677721226698752,[11],[11],1729667103082,[],Your waiver claim was processed successfully!,11.0,0.0,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1729654254569,7,[],578293895956312064,1154657268345184256,[2],[2],1729667103082,[],"Unfortunately, your roster will have too many players after this transaction.",2.0,9.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1729654215844,7,[],578293895956312064,1154657105920753664,[2],[2],1729667103082,[],"Unfortunately, your roster will have too many players after this transaction.",1.0,10.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729654132121,7,[],578293895956312064,1154656754760851456,[2],[2],1729667103082,[],Your waiver claim was processed successfully!,0.0,19.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729649162047,7,[],594730254984077312,1154635908759556096,[4],[4],1729667103082,[],Your waiver claim was processed successfully!,13.0,0.0,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729649086096,7,[],594730254984077312,1154635590198206464,[4],[4],1729667103082,[],Your waiver claim was processed successfully!,10.0,0.0,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1729639771424,7,[],861798755085692928,1154596521632075776,[9],[9],1729667103082,[],"Unfortunately, your roster will have too many players after this transaction.",12.0,0.0,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729639684980,7,[],861798755085692928,1154596159059521536,[9],[9],1729667103082,[],Your waiver claim was processed successfully!,5.0,3.0,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729608435622,7,[],862559746694205440,1154465089752444928,[3],[3],1729667103082,[],Your waiver claim was processed successfully!,8.0,3.0,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729608327413,7,[],862559746694205440,1154464635891060736,[3],[3],1729667103082,[],Your waiver claim was processed successfully!,7.0,3.0,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729608206993,7,[],862559746694205440,1154464130812882944,[3],[3],1729667103082,[],Your waiver claim was processed successfully!,6.0,3.0,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729608145844,7,[],862559746694205440,1154463874335395840,[3],[3],1729667103082,[],Your waiver claim was processed successfully!,4.0,3.0,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1729576930464,7,[],861798755085692928,1154332947542106112,[9],[9],1729667103082,[],Your waiver claim was processed successfully!,3.0,5.0,,,,,9.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1729442474997,7,[],740751073198948352,1153769000439123968,[12],[12],1729442474997,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1729438099789,7,[],741144911407095808,1153750649486708736,[6],[6],1729438099789,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1729438047277,7,[],741144911407095808,1153750429235417088,[6],[6],1729438047277,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1729435454325,7,[],862499213718704128,1153739553602277376,[11],[11],1729435454325,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,
complete,free_agent,1729404130373,7,[],862559746694205440,1153608171429154816,[3],[3],1729404130373,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,
