status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_4981,drops_6783,drops,adds_5847,drops_4663,adds_10444,drops_8126,adds_11626,settings_priority,adds_9500,adds_4081,drops_8333,drops_8330,adds_6768,drops_8110,adds_2306,drops_8117,metadata,settings,adds_6783,adds_2036,drops_5840,adds_11618,drops_8265,adds_6949,drops_1192,adds,drops_3172,adds_3214,drops_8131,adds_5960,drops_8311,drops_9500,drops_10880,drops_6485,drops_7672,drops_5096,adds_3200,adds_1426,drops_7600,adds_11638,drops_5185
complete,waiver,1730262357462,8,[],740751073198948352,1157207836741476352,[12],[12],1730271858629,[],Your waiver claim was processed successfully!,6.0,2.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1730257656090,8,[],1130644355074629632,1157188117758308352,[5],[5],1730271858629,[],Your waiver claim was processed successfully!,3.0,3.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1730248671659,8,[],741144911407095808,1157150434323218432,[6],[6],1730271858629,[],This player was claimed by another owner.,9.0,0.0,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1730228335314,8,[],578293895956312064,1157065137510092800,[2],[2],1730271858629,[],Your waiver claim was processed successfully!,1.0,13.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1730228215413,8,[],578293895956312064,1157064634608836608,[2],[2],1730271858629,[],"Unfortunately, your roster will have too many players after this transaction.",2.0,6.0,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1730224521292,8,[],862559746694205440,1157049140342419456,[3],[3],1730271858629,[],This player was claimed by another owner.,4.0,3.0,,,,,,,,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1730221436459,8,[],862499213718704128,1157036201615126528,[11],[11],1730271858629,[],This player was claimed by another owner.,8.0,1.0,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1730215977085,8,[],862559746694205440,1157013303340974080,[3],[3],1730271858629,[],Your waiver claim was processed successfully!,5.0,3.0,,,,,,,,,1.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1730213227867,8,[],862499213718704128,1157001772284751872,[11],[11],1730271858629,[],"Unfortunately, your roster will have too many players after this transaction.",10.0,0.0,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1730213215836,8,[],862499213718704128,1157001721823080448,[11],[11],1730271858629,[],Your waiver claim was processed successfully!,7.0,2.0,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
