status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_priority,settings_seq,settings_waiver_bid,adds_5726,drops_2306,adds_7841,drops_1192,adds_11052,drops_8333,adds_3172,drops_5871,adds_1234,drops_3294,adds_8132,drops_8142,adds_7600,adds_3233,drops_7715,metadata,settings,adds_9756,drops_11618,drops,adds_8364,adds_1192,drops_5726,adds_8110,drops_9487,adds_4663,adds_10880,adds_8142,adds_1052,drops_3200,adds_7672,drops_1875,adds_11626,drops_8129,adds_5840,drops_6118,adds_9487,drops_9229,adds_10917,drops_4663,adds_5882,drops_8314
complete,waiver,1730847406432,9,[],862499213718704128,1159661709976666112,[11],[11],1730880259494,[],Your waiver claim was processed successfully!,1.0,6.0,0.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1730828998968,9,[],862499213718704128,1159584503476883456,[11],[11],1730880259494,[],Your waiver claim was processed successfully!,0.0,4.0,0.0,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1730828975526,9,[],862499213718704128,1159584405153853440,[11],[11],1730880259494,[],Your waiver claim was processed successfully!,2.0,7.0,0.0,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1730822524342,9,[],862559746694205440,1159557346927009792,[3],[3],1730880259494,[],Your waiver claim was processed successfully!,,1.0,3.0,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1730822364700,9,[],862559746694205440,1159556677339901952,[3],[3],1730880259494,[],Your waiver claim was processed successfully!,,0.0,3.0,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failed,waiver,1730815131564,9,[],741144911407095808,1159526339368603648,[6],[6],1730880259494,[],"Unfortunately, your roster will have too many players after this transaction.",,5.0,0.0,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1730815098106,9,[],741144911407095808,1159526199035744256,[6],[6],1730880259494,[],Your waiver claim was processed successfully!,,2.0,0.0,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,waiver,1730785580249,9,[],578293895956312064,1159402392170811392,[2],[2],1730880259494,[],Your waiver claim was processed successfully!,,3.0,0.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1730668750341,9,[],861798755085692928,1158912372019556352,[9],[9],1730668750341,[],,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1730656213587,9,[],740751073198948352,1158859789062107136,[12],[12],1730656213587,[],,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,
complete,free_agent,1730655078096,9,[],862499213718704128,1158855026467663872,[11],[11],1730655078096,[],,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,,,,,,,,,,,,,,,,,,,
complete,free_agent,1730654854460,9,[],594730254984077312,1158854088466100224,[4],[4],1730654854460,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,,,,
complete,free_agent,1730641277522,9,[],862559746694205440,1158797142664781824,[3],[3],1730641277522,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
complete,free_agent,1730641216168,9,[],862559746694205440,1158796885327458304,[3],[3],1730641216168,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
complete,free_agent,1730492225288,9,[],741144911407095808,1158171972283502592,[6],[6],1730492225288,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,
complete,free_agent,1730415034363,9,[],595464158774878208,1157848210078167040,[7],[7],1730415034363,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,
complete,free_agent,1730414927443,9,[],830975786608619520,1157847761623183360,[8],[8],1730414927443,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,
complete,free_agent,1730330045035,9,[],578293895956312064,1157491738999631872,[2],[2],1730330045035,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,
complete,free_agent,1730303266258,9,[],594730254984077312,1157379420668149760,[4],[4],1730303266258,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,
complete,free_agent,1730303213153,9,[],594730254984077312,1157379197929635840,[4],[4],1730303213153,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
complete,free_agent,1730295092224,9,[],741144911407095808,1157345136284643328,[6],[6],1730295092224,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,
complete,free_agent,1730282041795,9,[],861798755085692928,1157290398818086912,[9],[9],1730282041795,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0
