co_owners,keepers,league_id,metadata,owner_id,player_map,players,reserve,roster_id,starters,taxi,settings_fpts,settings_losses,settings_ties,settings_total_moves,settings_waiver_budget_used,settings_waiver_position,settings_wins,metadata_allow_pn_inactive_starters,metadata_allow_pn_player_injury_status,metadata_allow_pn_scoring,metadata_p_nick_1049,metadata_p_nick_1352,metadata_p_nick_1535,metadata_p_nick_1689,metadata_p_nick_2216,metadata_p_nick_2320,metadata_p_nick_4017,metadata_p_nick_4098,metadata_p_nick_5857,metadata_p_nick_5890,metadata_p_nick_6813,metadata_restrict_pn_scoring_starters_only,metadata_p_nick_1166,metadata_p_nick_4034,metadata_p_nick_4081,metadata_p_nick_4983,metadata_p_nick_5012,metadata_p_nick_5056,metadata_p_nick_5862,metadata_p_nick_5955,metadata_p_nick_6955,metadata_p_nick_7547,metadata_p_nick_7591,metadata_p_nick_7651,metadata_p_nick_8119,metadata_p_nick_8132,metadata_p_nick_8146,metadata_p_nick_8154
,[],1237469128541868032,,1045522732957417472,,[],[],1,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",[],0,0,0,0,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[],1237469128541868032,,578293895956312064,,[],[],2,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",[],0,0,0,0,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[],1237469128541868032,,862559746694205440,,[],[],3,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",[],0,0,0,0,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[],1237469128541868032,,594730254984077312,,[],[],4,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",[],0,0,0,0,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[],1237469128541868032,,1130644355074629632,,[],[],5,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",[],0,0,0,0,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[],1237469128541868032,,741144911407095808,,[],[],6,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",[],0,0,0,0,0,9,0,on,on,on,Dave,,TBD,White Lightning ⚡,Ol' Reliable ,Fisherman,Happy Ending ,Punt,Ark,TBD,JTT,on,,,,,,,,,,,,,,,,
,[],1237469128541868032,,595464158774878208,,[],[],7,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",[],0,0,0,0,0,3,0,,,off,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[],1237469128541868032,,830975786608619520,,[],[],8,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",[],0,0,0,0,0,1,0,,,,,,,,,,,,,,,,Kissin’,Born Again,Belly,Funky Music,Julie,Dozen Donuts,Mister,The Gatherer,Family Tree House,Walks Into a Bar,Strawberry,The Lawn,Circle Boy,The Creator,The Volleyball,Swiss Family
,[],1237469128541868032,,861798755085692928,,[],[],9,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",[],0,0,0,0,0,4,0,,,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[],1237469128541868032,,561715408029736960,,[],[],10,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",[],0,0,0,0,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[],1237469128541868032,,862499213718704128,,[],[],11,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",[],0,0,0,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[],1237469128541868032,,740751073198948352,,[],[],12,"['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']",[],0,0,0,0,0,2,0,off,off,off,,,,,,,,,,,,off,,,,,,,,,,,,,,,,
